APP_Libelle_activite_etablissement,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Libelle_commune_2,Date_inspection,Synthese_eval_sanit,Agrement,geores,Adresse_2_UA_2,filtre,Numero_inspection,SIRET
Restaurants,CORA,ROUTE DE BOHAIN,2100,Saint-Quentin,Saint-Quentin,2024-01-08T01:00:00+01:00,Satisfaisant,,"49.895229,3.325777",ROUTE DE BOHAIN,Restaurants,24-050966-1,78692030600259
Rayon pain/viennoiserie/pâtisserie,CORA NORD,RUE FRANCIS GARNIER,51721,Reims,Reims,2024-07-11T02:00:00+02:00,Très satisfaisant,,"49.286586,4.022574",RUE FRANCIS GARNIER,,24-064612-1,78692030600507
Restaurants,CORA,RTE DU RHIN,67500,Haguenau,Haguenau,2023-09-13T02:00:00+02:00,Très satisfaisant,,"48.809498,7.825031",RTE DU RHIN,Restaurants,23-072572-1,78692030600606
Libre service,CORA,7a ROUTE NATIONALE 73,39100,Choisey,Choisey,2024-01-09T01:00:00+01:00,Satisfaisant,,"47.065032,5.456733",7a ROUTE NATIONALE 73,Supermarchés/alimentation générale,24-051702-1,78692030600820
Rayon poissonnerie,CORA,Route de Louvois,51350,Cormontreuil,Cormontreuil,2023-09-19T02:00:00+02:00,Très satisfaisant,,"49.215434,4.050455",Route de Louvois,Supermarchés/alimentation générale,23-074649-1,78692030600879
Restaurants,CORA,Centre Commercial Lens II,62880,Vendin-le-Vieil,Vendin-le-Vieil,2024-04-11T02:00:00+02:00,Satisfaisant,,"50.459469,2.828761",Centre Commercial Lens II,Restaurants,24-056001-1,78692030600895
Restaurants,CORA,"1115, Avenue de la Libération",62700,Bruay-la-Buissière,Bruay-la-Buissière,2024-01-30T01:00:00+01:00,Satisfaisant,,"50.494475,2.573646","1115, Avenue de la Libération",Restaurants,23-110091-1,78692030600911
Rayon boucherie-charcuterie,CORA,18 RUE JULES GUESDE,59650,Villeneuve-d'Ascq,Villeneuve-d'Ascq,2024-02-05T01:00:00+01:00,Satisfaisant,,"50.636792,3.119474",18 RUE JULES GUESDE,Supermarchés/alimentation générale,24-058643-1,78692030600937
Rayon poissonnerie,CORA,BD DE NORMANDIE,27000,Évreux,Évreux,2023-12-05T01:00:00+01:00,A améliorer,,"49.018829,1.140355",BD DE NORMANDIE,Supermarchés/alimentation générale,23-101105-1,78692030600978
Restaurants,CORA,BD DE NORMANDIE,27000,Évreux,Évreux,2024-04-09T02:00:00+02:00,Très satisfaisant,,"49.018829,1.140355",BD DE NORMANDIE,Restaurants,24-045445-1,78692030600978
Rayon boucherie-charcuterie,CORA,Rue des Bas Buissons,28100,Dreux,Dreux,2023-11-14T01:00:00+01:00,Satisfaisant,,"48.751533,1.343201",Rue des Bas Buissons,Supermarchés/alimentation générale,23-093207-1,78692030601117
Rayon poissonnerie,CORA,Rue des Bas Buissons,28100,Dreux,Dreux,2023-11-14T01:00:00+01:00,Satisfaisant,,"48.751533,1.343201",Rue des Bas Buissons,Supermarchés/alimentation générale,23-093210-1,78692030601117
Rayon traiteur|Rayon boucherie-charcuterie,CORA,ZONE COMMERCIALE DU HECKENWALD,57740,Longeville-lès-Saint-Avold,Longeville-lès-Saint-Avold,2023-11-22T01:00:00+01:00,Très satisfaisant,,"49.109729,6.682256",ZONE COMMERCIALE DU HECKENWALD,Supermarchés/alimentation générale,23-100783-1,78692030601190
Restaurants,CORA,ZONE COMMERCIALE DU HECKENWALD,57740,Longeville-lès-Saint-Avold,Longeville-lès-Saint-Avold,2023-11-22T01:00:00+01:00,Très satisfaisant,,"49.109729,6.682256",ZONE COMMERCIALE DU HECKENWALD,Restaurants,23-100784-1,78692030601190
Restaurants,CORA,ZONE COMMERCIALE DU HECKENWALD,57740,Longeville-lès-Saint-Avold,Longeville-lès-Saint-Avold,2023-11-22T01:00:00+01:00,Très satisfaisant,,"49.109729,6.682256",ZONE COMMERCIALE DU HECKENWALD,Restaurants,23-101245-1,78692030601190
Rayon poissonnerie,CORA,ZONE COMMERCIALE DU HECKENWALD,57740,Longeville-lès-Saint-Avold,Longeville-lès-Saint-Avold,2023-11-22T01:00:00+01:00,Très satisfaisant,,"49.109729,6.682256",ZONE COMMERCIALE DU HECKENWALD,Supermarchés/alimentation générale,23-101247-1,78692030601190
Préparation de produits composés,BOULANGERIE VIENNOISERIE FRANCAISE,Z.I des fraries,42740,Saint-Paul-en-Jarez,Saint-Paul-en-Jarez,2023-11-13T01:00:00+01:00,Très satisfaisant,,"45.487537,4.570207",Z.I des fraries,,23-098823-1,78728015500088
Découpe de viande de boucherie,INSTITUT FORMATION PROFESSION PERMANENTE,"8, Rue Agricol Perdiguier",15007,Aurillac,Aurillac,2024-01-18T01:00:00+01:00,Satisfaisant,15014126,"44.900788,2.435828","8, Rue Agricol Perdiguier",,24-003232-1,78804163000047
Restauration collective,COLLEGE ET LYCEE PRIVE ST JOSEPH,"132, Rue Joseph Berlioz",1140,Saint-Didier-sur-Chalaronne,Saint-Didier-sur-Chalaronne,2023-11-17T01:00:00+01:00,Très satisfaisant,01348053,"46.178693,4.81422","132, Rue Joseph Berlioz",Restauration collective,23-094474-1,78804176200014
Restaurants,SNOB HOTEL,84 RUE SAINT DENIS,75001,Paris 1er Arrondissement,Paris 1er Arrondissement,2023-11-02T01:00:00+01:00,Satisfaisant,,"48.86832,2.326079",84 RUE SAINT DENIS,Restaurants,23-091271-1,78811046800014
Mareyage et préparation de produits de la pêche,ROUEN MAREE,Avenue Bernard Bicheray,76000,Rouen,Rouen,2024-07-02T02:00:00+02:00,Très satisfaisant,76540031,"49.449287,1.048643",Avenue Bernard Bicheray,,24-061305-1,78811596200011
Mareyage et préparation de produits de la pêche,ROUEN MAREE,Avenue Bernard Bicheray,76000,Rouen,Rouen,2024-07-02T02:00:00+02:00,Très satisfaisant,76540031,"49.449287,1.048643",Avenue Bernard Bicheray,,24-062371-1,78811596200011
Purification/Expédition de coquillages,ROUEN MAREE,Avenue Bernard Bicheray,76000,Rouen,Rouen,2024-07-02T02:00:00+02:00,Très satisfaisant,76540031,"49.449287,1.048643",Avenue Bernard Bicheray,,24-063221-1,78811596200011
Boucherie-Charcuterie,AU FAISAN DORE,4 RUE DUQUESNE,29200,Brest,Brest,2024-06-25T02:00:00+02:00,Satisfaisant,,"48.390031,-4.490089",4 RUE DUQUESNE,Métiers de bouche,24-055825-1,78811646500048
Découpe de viande de boucherie,SOCIETE AUBRET,Zone Industrielle - BP 12,44540,Vallons-de-l'Erdre,Vallons-de-l'Erdre,2023-08-10T02:00:00+02:00,Très satisfaisant,44180004,"47.518901,-1.176231",Zone Industrielle - BP 12,,23-063179-1,78818295400024
Transformation de produits carnés,SOCIETE AUBRET,Zone Industrielle - BP 12,44540,Vallons-de-l'Erdre,Vallons-de-l'Erdre,2024-02-16T01:00:00+01:00,Très satisfaisant,44180004,"47.518901,-1.176231",Zone Industrielle - BP 12,,24-010824-1,78818295400024
Transformation de produits carnés,SOCIETE AUBRET,Zone Industrielle - BP 12,44540,Vallons-de-l'Erdre,Vallons-de-l'Erdre,2024-07-03T02:00:00+02:00,Très satisfaisant,44180004,"47.518901,-1.176231",Zone Industrielle - BP 12,,24-061459-1,78818295400024
Restauration collective,ASSOCIATION LES ALENCONS,"156, route nationale",80450,Camon,Camon,2023-08-31T02:00:00+02:00,Satisfaisant,80164001,"49.917925,2.358405","156, route nationale",Restauration collective,23-071410-1,78818440600015
Restauration collective,CONVIVIO,12 RUE LOUIS ARMAND,77330,Ozoir-la-Ferrière,Ozoir-la-Ferrière,2023-10-02T02:00:00+02:00,Satisfaisant,77350001,"48.765112,2.688909",12 RUE LOUIS ARMAND,Restauration collective,23-078669-1,78824308700020
Rayon boucherie-charcuterie,INTERMARCHE,2 r Gare,85490,Benet,Benet,2024-06-10T02:00:00+02:00,Satisfaisant,,"46.370634,-0.590159",2 r Gare,Supermarchés/alimentation générale,24-048589-1,78826134500011
Rayon poissonnerie,INTERMARCHE,2 r Gare,85490,Benet,Benet,2024-06-10T02:00:00+02:00,Très satisfaisant,,"46.370634,-0.590159",2 r Gare,Supermarchés/alimentation générale,24-048614-1,78826134500011
Restauration collective,MAISON RETRAITE ST JOSEPH AUBENAS,46 BOULEVARD JEAN MATHON,7200,Aubenas,Aubenas,2024-04-25T02:00:00+02:00,Satisfaisant,07019113,"44.613633,4.387043",46 BOULEVARD JEAN MATHON,Restauration collective,24-030557-1,78827701000062
Restauration collective,CANTINE DU PRE MURIERS,86 RUE DES MURIERS,72000,Le Mans,Le Mans,2023-11-07T01:00:00+01:00,Satisfaisant,,"48.010225,0.186713",86 RUE DES MURIERS,Restauration collective,23-090519-1,78834457000031
Restauration collective,RESIDENCE DE MAUPERTHUIS,"20, rue Etienne Lemerle",44400,Rezé,Rezé,2024-02-09T01:00:00+01:00,Satisfaisant,,"47.187878,-1.563435","20, rue Etienne Lemerle",Restauration collective,24-010200-1,78835299500013
Restauration collective,FOYER SAINT MARTIN,"10, rue du Dr Grosse",44118,La Chevrolière,La Chevrolière,2024-05-30T02:00:00+02:00,Très satisfaisant,,"47.092846,-1.60876","10, rue du Dr Grosse",Restauration collective,24-040978-1,78835681400012
Transformation de produits carnés,GUILLEMINOT PERE ET FILS,3 PLACE DE LA REPUBLIQUE,10500,Brienne-le-Château,Brienne-le-Château,2023-09-20T02:00:00+02:00,Très satisfaisant,10064002,"48.392311,4.527987",3 PLACE DE LA REPUBLIQUE,,23-078168-1,78839787500014
Restaurants,SUSHI KYO,10 RUE DU VAISSEAU,59650,Villeneuve-d'Ascq,Villeneuve-d'Ascq,2024-04-15T02:00:00+02:00,Satisfaisant,,"50.616231,3.126237",10 RUE DU VAISSEAU,Restaurants,24-025940-1,78842152700011
Restaurants,AU PETIT ENCAS,1056 CHE LA CROIX DE VAUVERT,30000,Nîmes,Nîmes,2024-05-17T02:00:00+02:00,Très satisfaisant,,"43.858888,4.373907",1056 CHE LA CROIX DE VAUVERT,Restaurants,24-045175-1,78842729200016
Boucherie-Charcuterie,LES BOUCHERIES A.O.M. 1,3 RUE MARAT,94200,Ivry-sur-Seine,Ivry-sur-Seine,2023-11-09T01:00:00+01:00,Satisfaisant,,"48.811095,2.384235",3 RUE MARAT,Métiers de bouche,23-091934-1,78843676400013
Restaurants,KEBAILI FEYSSEL,27 RUE DE SELONCOURT,25400,Audincourt,Audincourt,2024-04-18T02:00:00+02:00,Satisfaisant,,"47.478012,6.843007",27 RUE DE SELONCOURT,Restaurants,24-056497-1,78847596000019
Restaurants,CAMPANILE,1 AVENUE DE LA GARE TGV,90400,Meroux-Moval,Meroux-Moval,2024-04-05T02:00:00+02:00,Très satisfaisant,,"47.585301,6.897936",1 AVENUE DE LA GARE TGV,Restaurants,24-041799-1,78848654600021
Restaurants,LES FILS A MAMAN,LE VIN QUI DANSE !,59000,Lille,Lille,2024-03-14T01:00:00+01:00,Satisfaisant,,,LE VIN QUI DANSE !,Restaurants,24-049718-1,78848689200011
Boulangerie-Pâtisserie,AUX MILLE SAVEURS,34 AV WINSTON CHURCHILL,93190,Livry-Gargan,Livry-Gargan,2024-04-22T02:00:00+02:00,Satisfaisant,,"48.913702,2.536875",34 AV WINSTON CHURCHILL,Métiers de bouche,24-028870-1,78851751400014
Restaurants,BAR DES SPORTS,"71, Grande Rue",39190,Cousance,Cousance,2024-02-15T01:00:00+01:00,Satisfaisant,,"46.53137,5.390988","71, Grande Rue",Restaurants,24-050268-1,78853680300018
Commerce alimentaire,TERROIR & SAVEURS D'AUTREFOIS,13 RUE DES ETOILES,66450,Pollestres,Pollestres,2024-06-27T02:00:00+02:00,Satisfaisant,,"42.640345,2.871333",13 RUE DES ETOILES,,24-056009-1,78854057300029
Transformation de produits carnés,EARL DE MENAUTON,288 route de Farthouat,40250,Lahosse,Lahosse,2024-01-11T01:00:00+01:00,Très satisfaisant,40141002,"43.708688,-0.787854",288 route de Farthouat,,24-002718-1,78856364100018
Restaurants,SALON LOUNGE ORLY,AEROPORT D'ORLY,94310,Orly,Orly,2023-10-18T02:00:00+02:00,Très satisfaisant,,"48.740097,2.374862",AEROPORT D'ORLY,Restaurants,23-090465-1,78856460700042
Restaurants,HOLY COW  !,38 RUE DE LA REPUBLIQUE,76000,Rouen,Rouen,2024-04-05T02:00:00+02:00,Satisfaisant,,"49.438931,1.097106",38 RUE DE LA REPUBLIQUE,Restaurants,24-024466-1,78857646000018
Restaurants,AUBERGE DU CHEVAL BLANC,1 RUE PORTE DE MACON,71250,Cluny,Cluny,2024-03-28T01:00:00+01:00,Satisfaisant,,"46.430013,4.661841",1 RUE PORTE DE MACON,Restaurants,24-023712-1,78858522200011
Purification/Expédition de coquillages,SEGUIN JEREMY,Chemin de la Grande Echelle,17730,Port-des-Barques,Port-des-Barques,2024-01-16T01:00:00+01:00,Très satisfaisant,17484083,"45.949038,-1.061832",Chemin de la Grande Echelle,,24-003105-1,78859341600019
Restaurants,QUAI OUEST,5 BIS AVENUE ARMAND LANOUX,66750,Saint-Cyprien,Saint-Cyprien,2024-06-26T02:00:00+02:00,Satisfaisant,,"42.606341,3.039023",5 BIS AVENUE ARMAND LANOUX,Restaurants,24-056113-1,78859674000027
Restaurants,Hôtel Best Western,9 rue des bourguignons,92270,Bois-Colombes,Bois-Colombes,2024-03-25T01:00:00+01:00,Satisfaisant,,"48.911269,2.272159",9 rue des bourguignons,Restaurants,24-023007-1,78859781300039
Boucherie-Charcuterie,AU COEUR D'ALOYAU,75 AV GEORGES CLEMENCEAU,94700,Maisons-Alfort,Maisons-Alfort,2024-03-08T01:00:00+01:00,Satisfaisant,,"48.811079,2.443491",75 AV GEORGES CLEMENCEAU,Métiers de bouche,24-017652-1,78860093000010
Restaurants,PIZZA TIME,2 RUE DU GENERAL LECLERC,95310,Saint-Ouen-l'Aumône,Saint-Ouen-l'Aumône,2023-10-30T01:00:00+01:00,Satisfaisant,,"49.044987,2.107582",2 RUE DU GENERAL LECLERC,Restaurants,23-088813-1,78861120000023
Boulangerie-Pâtisserie,DROLE DE PAIN,1401 AVENUE DU MONDIAL 98,34000,Montpellier,Montpellier,2024-06-03T02:00:00+02:00,Satisfaisant,,"43.60716,3.913242",1401 AVENUE DU MONDIAL 98,Métiers de bouche,24-042703-1,78864025800018
Restaurants,WOK ET GRILLE,13 AV SALVADOR ALLENDE,69500,Bron,Bron,2024-06-14T02:00:00+02:00,A corriger de manière urgente,,"45.743092,4.931518",13 AV SALVADOR ALLENDE,Restaurants,24-049291-1,78866052000016
Restaurants,HUIT MC DONALD'S,"47 bis, Avenue Olivier Messiaen",72000,Le Mans,Le Mans,2024-03-06T01:00:00+01:00,Satisfaisant,,"48.014531,0.161022","47 bis, Avenue Olivier Messiaen",Restaurants,24-016464-1,78867065100025
Boulangerie-Pâtisserie,BOULANGERIE DE NEUILLY,51 AV VICTOR HUGO,93360,Neuilly-Plaisance,Neuilly-Plaisance,2024-02-21T01:00:00+01:00,Satisfaisant,,"48.856727,2.508284",51 AV VICTOR HUGO,Métiers de bouche,24-011765-1,78867729200013
Boulangerie-Pâtisserie,AU PAIN D'AMOUR,10 RUE DE L EST,59380,Warhem,Warhem,2024-06-28T02:00:00+02:00,Satisfaisant,,"50.976679,2.494006",10 RUE DE L EST,Métiers de bouche,24-056939-1,78867990000019
Boulangerie-Pâtisserie,LA VITRYENNE,32 RUE REGNAULT,75013,Paris 13e  Arrondissement,Paris 13e  Arrondissement,2024-04-03T02:00:00+02:00,A améliorer,,"48.82458,2.376571",32 RUE REGNAULT,Métiers de bouche,24-027005-1,78869306700019
Commerce alimentaire,O DOUCEURS DE LILY,3 PLACE DE L EGLISE,29170,Saint-Évarzec,Saint-Évarzec,2024-06-21T02:00:00+02:00,Satisfaisant,,"47.936258,-4.020891",3 PLACE DE L EGLISE,,24-053379-1,78869908000016
Restaurants,ETOILE DES NEIGES,ETOILE DES NEIGES,64440,Eaux-Bonnes,Eaux-Bonnes,2024-02-28T01:00:00+01:00,A améliorer,,"42.959707,-0.330171",ETOILE DES NEIGES,Restaurants,24-014029-1,78871078800027
Traiteur,TAPAS Y JAMON,7 RUE DE MONTYON,75009,Paris 9e  Arrondissement,Paris 9e  Arrondissement,2023-11-06T01:00:00+01:00,Très satisfaisant,,"48.873034,2.344357",7 RUE DE MONTYON,Métiers de bouche,23-093737-1,78875132900038
Restaurants,L'HIPPODROME,"5, rue Federico Garcia Lorca",32000,Auch,Auch,2024-01-16T01:00:00+01:00,Très satisfaisant,,"43.670436,0.599893","5, rue Federico Garcia Lorca",Restaurants,24-046234-1,78878272000015
Restaurants,PARIT 2,30 AV D'ITALIE,75013,Paris 13e  Arrondissement,Paris 13e  Arrondissement,2024-02-22T01:00:00+01:00,Très satisfaisant,,"48.829238,2.35603",30 AV D'ITALIE,Restaurants,24-012009-1,78879005300029
Restaurants,PARIT 1,211 BD VINCENT AURIOL,75013,Paris 13e  Arrondissement,Paris 13e  Arrondissement,2024-01-04T01:00:00+01:00,Très satisfaisant,,"48.830868,2.35699",211 BD VINCENT AURIOL,Restaurants,24-000442-1,78879008700027
Restauration collective,ECOLE ECOFIH,79 RUE DE PARIS,93000,Bobigny,Bobigny,2024-02-22T01:00:00+01:00,A améliorer,,"48.899022,2.444143",79 RUE DE PARIS,Restauration collective,24-012024-1,78879025100011
Restaurants,ECOLE ECOFIH,79 RUE DE PARIS,93000,Bobigny,Bobigny,2024-02-22T01:00:00+01:00,A améliorer,,"48.899022,2.444143",79 RUE DE PARIS,Restaurants,24-012025-1,78879025100011
Boulangerie-Pâtisserie,ECOLE ECOFIH,79 RUE DE PARIS,93000,Bobigny,Bobigny,2024-02-22T01:00:00+01:00,Satisfaisant,,"48.899022,2.444143",79 RUE DE PARIS,Métiers de bouche,24-012025-2,78879025100011
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,ABATTOIR DE PROXIMITE D'ANDREZIEUX-BOUTHEON-APAB,2 rue Amelia EARHARDT,42160,Andrézieux-Bouthéon,Andrézieux-Bouthéon,2023-11-09T01:00:00+01:00,Satisfaisant,42005013,"45.537003,4.302685",2 rue Amelia EARHARDT,,23-005360-1,78879530000029
Boulangerie-Pâtisserie,LA TOQUE ET LA SAVEUR,55  R   DU DOCTEUR CANTETEAU,85100,Les Sables-d'Olonne,Les Sables-d'Olonne,2024-07-02T02:00:00+02:00,A améliorer,,"46.496639,-1.797732",55  R   DU DOCTEUR CANTETEAU,Métiers de bouche,24-058713-1,78880371600018
Libre service|Alimentation générale,ANU LANKA ENTREPRISE,68 RUE LOUIS BLANC,75010,Paris 10e  Arrondissement,Paris 10e  Arrondissement,2024-01-29T01:00:00+01:00,Très satisfaisant,,"48.883947,2.360136",68 RUE LOUIS BLANC,Supermarchés/alimentation générale,24-006346-1,78880651100010
Alimentation générale|Traiteur,AKLE,ARMELYS,69003,Lyon 3e  Arrondissement,Lyon 3e  Arrondissement,2024-01-17T01:00:00+01:00,Satisfaisant,,"45.758,4.835",ARMELYS,Supermarchés/alimentation générale,24-003316-1,78880756800019
Boulangerie-Pâtisserie,LA LOULINOISE,32 RUE JEAN PIERRE TIMBAUD,92130,Issy-les-Moulineaux,Issy-les-Moulineaux,2024-07-02T02:00:00+02:00,Satisfaisant,,"48.820498,2.24981",32 RUE JEAN PIERRE TIMBAUD,Métiers de bouche,24-060770-1,78882501600017
Restaurants,PAVILLON REPUBLIQUE LES HALLES,7 RUE PIERRE CHAUSSON,75010,Paris 10e  Arrondissement,Paris 10e  Arrondissement,2023-11-03T01:00:00+01:00,Satisfaisant,,"48.870773,2.360523",7 RUE PIERRE CHAUSSON,Restaurants,23-089777-1,78882704600020
Restaurants,ROYAL WOK,impasse paul Eluard,85105,Les Sables-d'Olonne,Les Sables-d'Olonne,2024-07-30T02:00:00+02:00,Satisfaisant,,,impasse paul Eluard,Restaurants,24-072628-1,78883678100013
Boucherie-Charcuterie,TRADITIONS GOURMANDES,Place Remoinville,94350,Villiers-sur-Marne,Villiers-sur-Marne,2023-09-07T02:00:00+02:00,Très satisfaisant,,"48.826769,2.542069",Place Remoinville,Métiers de bouche,23-070874-1,78883701100014
Producteurs fermiers,MURACCIOLE SIMON,,20219,Muracciole,Muracciole,2023-12-19T01:00:00+01:00,Très satisfaisant,,"42.171,9.194",,Producteurs fermiers,23-105578-1,78885579900011
Mareyage et préparation de produits de la pêche,PIERRE ET LE LOUP,316 RUE JEAN -BAPTISTE MATTEI,83500,La Seyne-sur-Mer,La Seyne-sur-Mer,2024-02-07T01:00:00+01:00,Satisfaisant,83126043,"43.080464,5.896058",316 RUE JEAN -BAPTISTE MATTEI,,24-009738-1,78886614300027
Purification/Expédition de coquillages,PIERRE ET LE LOUP,"205, allée de la Petite Mer",83500,La Seyne-sur-Mer,La Seyne-sur-Mer,2024-02-07T01:00:00+01:00,Satisfaisant,83126043,"43.080471,5.899346","205, allée de la Petite Mer",,24-010253-1,78886614300027
Transport de denrées alimentaires,VASSANT PERE & FILS,83 RUE DU BOURG,59320,Ennetières-en-Weppes,Ennetières-en-Weppes,2023-09-01T02:00:00+02:00,Très satisfaisant,,"50.634862,2.937849",83 RUE DU BOURG,,23-069366-1,78888536600021
Transformation de lait ou produits laitiers,ENTREPRISE LAITIERE DE SAUVAIN -E.L.S.,ENTREPRISE LAITIERE DE SAUVAIN E L,42990,Sauvain,Sauvain,2024-05-28T02:00:00+02:00,Très satisfaisant,42298008,"45.678714,3.887145",ENTREPRISE LAITIERE DE SAUVAIN E L,,24-005355-1,78889230500012
Caves d'affinage,ENTREPRISE LAITIERE DE SAUVAIN -E.L.S.,,42940,Saint-Bonnet-le-Courreau,Saint-Bonnet-le-Courreau,2024-05-28T02:00:00+02:00,Très satisfaisant,42205007,"45.664777,3.92069",,,24-005356-1,78889230500020
Restaurants,LE BEE BOP,"47, RUE DU BRANDON",85500,Les Herbiers,Les Herbiers,2024-05-30T02:00:00+02:00,Satisfaisant,,"46.870721,-1.016902","47, RUE DU BRANDON",Restaurants,24-054758-1,78889435000016
"VH, VSM, préparation viandes boucherie",ATELIER DE DECOUPE PAULINETOIS,Le Bourg,81250,Paulinet,Paulinet,2023-10-26T02:00:00+02:00,Très satisfaisant,81203101,"43.860886,2.423645",Le Bourg,,23-088818-1,78891387900011
Restaurants,LE FIL DU TEMPS,1 PL DE LA MAIRIE,23000,Sainte-Feyre,Sainte-Feyre,2024-03-26T01:00:00+01:00,Satisfaisant,,"46.139362,1.914442",1 PL DE LA MAIRIE,Restaurants,24-047831-1,78896293400022
Restaurants,L'ATELIER,PLATEAU DE BONASCRE,9110,Ax-les-Thermes,Ax-les-Thermes,2023-08-25T02:00:00+02:00,Satisfaisant,,"42.701577,1.815569",PLATEAU DE BONASCRE,Restaurants,23-066550-1,78896876600014
Boulangerie-Pâtisserie,LES SAVEURS DU PAIN,42 RUE DUNOIS,75013,Paris 13e  Arrondissement,Paris 13e  Arrondissement,2024-07-04T02:00:00+02:00,Très satisfaisant,,"48.831694,2.368485",42 RUE DUNOIS,Métiers de bouche,24-061485-1,78897990400018
Restaurants,LE BERCAIL,162 chemin des canotiers,84000,Avignon,Avignon,2024-05-17T02:00:00+02:00,Satisfaisant,,"43.955184,4.810618",162 chemin des canotiers,Restaurants,24-041521-1,78898321100012
Restaurants,DESTAN (SK),5 AV JEAN BAPTISTE CLEMENT,92140,CLAMART,CLAMART,2023-10-09T02:00:00+02:00,A améliorer,,"48.801066,2.267259",5 AV JEAN BAPTISTE CLEMENT,Restaurants,16962546,78898450800028
Boucherie-Charcuterie,PHILIPPE MOUILLEY,4 RUE SAINT ROBERT,10340,Les Riceys,Les Riceys,2023-09-12T02:00:00+02:00,Satisfaisant,,"47.989117,4.361144",4 RUE SAINT ROBERT,Métiers de bouche,23-075042-1,78899499400010
Restaurants,(ND) LA LANGOUSTE,ANSE A LA GOURDE,97118,Saint-François,Saint-François,2023-10-14T02:00:00+02:00,A améliorer,,"16.254512,-61.216666",ANSE A LA GOURDE,Restaurants,23-084117-1,78901260600016
Restaurants,ALBERT 1ER,4 PL ALBERT 1ER,34000,Montpellier,Montpellier,2023-09-25T02:00:00+02:00,Satisfaisant,,"43.615515,3.874657",4 PL ALBERT 1ER,Restaurants,23-076299-1,78901534400011
Restaurants,LE PROGRES,62 RUE LEGENDRE,75017,Paris 17e  Arrondissement,Paris 17e  Arrondissement,2024-04-03T02:00:00+02:00,Satisfaisant,,"48.885414,2.316528",62 RUE LEGENDRE,Restaurants,24-023725-1,78902127600017
Boulangerie-Pâtisserie,AU PALAIS DES PAINS,11 Rue du Maréchal Foch,61700,Domfront en Poiraie,Domfront en Poiraie,2024-03-11T01:00:00+01:00,Satisfaisant,,"48.59183,-0.644703",11 Rue du Maréchal Foch,Métiers de bouche,24-051849-1,78906964800010
Entreposage non spécialisé de denrées alimentaires,MAVI,59 RUE DU MAS DE PORTALY,34070,Montpellier,Montpellier,2024-02-08T01:00:00+01:00,Satisfaisant,,"43.58413,3.883989",59 RUE DU MAS DE PORTALY,,24-018627-1,78907198200050
Transformation de lait ou produits laitiers,SCEA ELEVAGE DE LA VALLIERE,LA VALLIERE,50200,Saint-Malo-de-la-Lande,Saint-Malo-de-la-Lande,2024-05-29T02:00:00+02:00,Très satisfaisant,50506003,"49.056756,-1.556505",LA VALLIERE,,24-046862-1,78907227900019
Restaurants,OSTERIA DEL PADRE,L'AXIOME,59200,Tourcoing,Tourcoing,2024-03-20T01:00:00+01:00,Satisfaisant,,"50.728579,3.14036",L'AXIOME,Restaurants,24-049730-1,78908615400018
Alimentation générale,L'AFRICA PARIS,30 RUE DES POISSONNIERS,75018,Paris 18e  Arrondissement,Paris 18e  Arrondissement,2023-08-22T02:00:00+02:00,A améliorer,,"48.887706,2.351351",30 RUE DES POISSONNIERS,Supermarchés/alimentation générale,23-065929-1,78909640100011
Libre service,L'AFRICA PARIS,26 RUE DES POISSONNIERS,75018,Paris 18e  Arrondissement,Paris 18e  Arrondissement,2023-08-22T02:00:00+02:00,Satisfaisant,,"48.887438,2.351229",26 RUE DES POISSONNIERS,Supermarchés/alimentation générale,23-066318-1,78909640100011
Alimentation générale,L'AFRICA PARIS,123 RUE FALGUIERE,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2024-07-10T02:00:00+02:00,Satisfaisant,,"48.83739,2.311039",123 RUE FALGUIERE,Supermarchés/alimentation générale,24-062454-1,78909640100052
Restaurants,ASSOCIATION EURO-SAHRAOUI,,91220,Brétigny-sur-Orge,Brétigny-sur-Orge,2023-09-15T02:00:00+02:00,Satisfaisant,,"48.603562,2.296311",,Restaurants,23-081831-1,78910803200010
Restaurants,AU JOYEUX RETOUR DES PECHEURS,AU JOYEUX RETOUR DES PECHEURS,59123,Zuydcoote,Zuydcoote,2024-03-28T01:00:00+01:00,Satisfaisant,,"51.062185,2.491869",AU JOYEUX RETOUR DES PECHEURS,Restaurants,24-048733-1,78912133200025
Restaurants,CAFE LES PIAULES,59 BOULEVARD DE BELLEVILLE,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2024-06-10T02:00:00+02:00,Très satisfaisant,,"48.870051,2.378912",59 BOULEVARD DE BELLEVILLE,Restaurants,24-046288-1,78912216500028
Restaurants,CAFE LES PIAULES,59 BOULEVARD DE BELLEVILLE,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2024-06-10T02:00:00+02:00,Très satisfaisant,,"48.870051,2.378912",59 BOULEVARD DE BELLEVILLE,Restaurants,24-046336-1,78912216500028
Rayon poissonnerie|Rayon fromagerie|Rayon boucherie-charcuterie,COLRUYT - DATS,COLRUYT - DATS,70180,Dampierre-sur-Salon,Dampierre-sur-Salon,2024-05-05T02:00:00+02:00,Très satisfaisant,,"47.558613,5.68406",COLRUYT - DATS,Supermarchés/alimentation générale,24-043759-1,78913978900349
